date,MACD,MACD_Hist,MACD_Signal
2018-04-13 10:48,-0.1072,0.1084,-0.2156
2018-04-13 10:49,-0.0342,0.1452,-0.1793
2018-04-13 10:50,0.0251,0.1635,-0.1384
2018-04-13 10:51,0.0828,0.177,-0.0942
2018-04-13 10:52,0.1439,0.1905,-0.0466
2018-04-13 10:53,0.1563,0.1623,-0.006
2018-04-13 10:54,0.1457,0.1214,0.0243
2018-04-13 10:55,0.1477,0.0987,0.049
2018-04-13 10:56,0.1253,0.061,0.0643
2018-04-13 10:57,0.1542,0.0719,0.0823
2018-04-13 10:58,0.1734,0.0729,0.1005
2018-04-13 10:59,0.1805,0.064,0.1165
2018-04-13 11:00,0.1238,0.0059,0.118
2018-04-13 11:01,0.0317,-0.069,0.1007
2018-04-13 11:02,-0.0982,-0.1591,0.0609
2018-04-13 11:03,-0.1487,-0.1677,0.019
2018-04-13 11:04,-0.1762,-0.1561,-0.02
2018-04-13 11:05,-0.214,-0.1552,-0.0588
2018-04-13 11:06,-0.2229,-0.1312,-0.0916
2018-04-13 11:07,-0.2065,-0.0919,-0.1146
2018-04-13 11:08,-0.2273,-0.0901,-0.1371
2018-04-13 11:09,-0.2202,-0.0664,-0.1537
2018-04-13 11:10,-0.2201,-0.0531,-0.167
2018-04-13 11:11,-0.2048,-0.0302,-0.1746
2018-04-13 11:12,-0.2044,-0.0239,-0.1805
2018-04-13 11:13,-0.1926,-0.0096,-0.1829
2018-04-13 11:14,-0.1955,-0.01,-0.1855
2018-04-13 11:15,-0.1842,0.001,-0.1852
2018-04-13 11:16,-0.1559,0.0234,-0.1793
2018-04-13 11:17,-0.1522,0.0217,-0.1739
2018-04-13 11:18,-0.1656,0.0067,-0.1723
2018-04-13 11:19,-0.1923,-0.016,-0.1763
2018-04-13 11:20,-0.2097,-0.0267,-0.1829
2018-04-13 11:21,-0.2089,-0.0208,-0.1881
2018-04-13 11:22,-0.2402,-0.0416,-0.1985
2018-04-13 11:23,-0.2424,-0.0351,-0.2073
2018-04-13 11:24,-0.2323,-0.02,-0.2123
2018-04-13 11:25,-0.222,-0.0077,-0.2142
2018-04-13 11:26,-0.2095,0.0038,-0.2133
2018-04-13 11:27,-0.2085,0.0038,-0.2123
2018-04-13 11:28,-0.2257,-0.0107,-0.215
2018-04-13 11:29,-0.2242,-0.0074,-0.2169
2018-04-13 11:30,-0.2006,0.013,-0.2136
2018-04-13 11:31,-0.1559,0.0462,-0.2021
2018-04-13 11:32,-0.0907,0.0891,-0.1798
2018-04-13 11:33,-0.0271,0.1222,-0.1492
2018-04-13 11:34,-0.0105,0.111,-0.1215
2018-04-13 11:35,-0.0044,0.0937,-0.0981
2018-04-13 11:36,0.0171,0.0921,-0.075
2018-04-13 11:37,0.0633,0.1106,-0.0474
2018-04-13 11:38,0.0413,0.0709,-0.0296
2018-04-13 11:39,0.0029,0.026,-0.0231
2018-04-13 11:40,-0.0042,0.0152,-0.0193
2018-04-13 11:41,-0.0343,-0.012,-0.0223
