date,OBV
2018-04-13 15:07,-387519.0
2018-04-13 15:08,-337458.0
2018-04-13 15:09,-285361.0
2018-04-13 15:10,-254047.0
2018-04-13 15:11,-268685.0
2018-04-13 15:12,-255587.0
2018-04-13 15:13,-241632.0
2018-04-13 15:14,-265851.0
2018-04-13 15:15,-283338.0
2018-04-13 15:16,-314393.0
2018-04-13 15:17,-332073.0
2018-04-13 15:18,-375888.0
2018-04-13 15:19,-389443.0
2018-04-13 15:20,-417328.0
2018-04-13 15:21,-388846.0
2018-04-13 15:22,-377428.0
2018-04-13 15:23,-351877.0
2018-04-13 15:24,-378618.0
2018-04-13 15:25,-386800.0
2018-04-13 15:26,-359041.0
2018-04-13 15:27,-346317.0
2018-04-13 15:28,-363780.0
2018-04-13 15:29,-373627.0
2018-04-13 15:30,-337328.0
2018-04-13 15:31,-384417.0
2018-04-13 15:32,-352053.0
2018-04-13 15:33,-292375.0
2018-04-13 15:34,-259058.0
2018-04-13 15:35,-280929.0
2018-04-13 15:36,-297657.0
2018-04-13 15:37,-289540.0
2018-04-13 15:38,-307731.0
2018-04-13 15:39,-331735.0
2018-04-13 15:40,-314901.0
2018-04-13 15:41,-279077.0
2018-04-13 15:42,-306929.0
2018-04-13 15:43,-284879.0
2018-04-13 15:44,-252026.0
2018-04-13 15:45,-226428.0
2018-04-13 15:46,-247830.0
2018-04-13 15:47,-261165.0
2018-04-13 15:48,-295979.0
2018-04-13 15:49,-277992.0
2018-04-13 15:50,-239247.0
2018-04-13 15:51,-205837.0
2018-04-13 15:52,-174392.0
2018-04-13 15:53,-128947.0
2018-04-13 15:54,-82341.0
2018-04-13 15:55,-130319.0
2018-04-13 15:56,-174564.0
2018-04-13 15:57,-132201.0
2018-04-13 15:58,-173107.0
2018-04-13 15:59,-227401.0
2018-04-13 16:00,73207.0
2018-04-16 09:30,228671.0
2018-04-16 09:31,69707.0
2018-04-16 09:32,-34928.0
2018-04-16 09:33,46022.0
2018-04-16 09:34,-36736.0
2018-04-16 09:35,31509.0
2018-04-16 09:36,87331.0
2018-04-16 09:37,28855.0
2018-04-16 09:38,-38640.0
2018-04-16 09:39,7093.0
2018-04-16 09:40,42375.0
2018-04-16 09:41,-19546.0
2018-04-16 09:42,-95723.0
2018-04-16 09:43,-180649.0
2018-04-16 09:44,-123004.0
2018-04-16 09:45,-87786.0
2018-04-16 09:46,-39652.0
2018-04-16 09:47,-97535.0
2018-04-16 09:48,-61367.0
2018-04-16 09:49,-103928.0
2018-04-16 09:50,-134210.0
2018-04-16 09:51,-195000.0
2018-04-16 09:52,-284021.0
2018-04-16 09:53,-238572.0
2018-04-16 09:54,-187945.0
2018-04-16 09:55,-159219.0
2018-04-16 09:56,-196866.0
2018-04-16 09:57,-266260.0
2018-04-16 09:58,-266260.0
2018-04-16 09:59,-326058.0
2018-04-16 10:00,-278039.0
2018-04-16 10:01,-317438.0
2018-04-16 10:02,-352195.0
2018-04-16 10:03,-287446.0
2018-04-16 10:04,-252414.0
2018-04-16 10:05,-293228.0
2018-04-16 10:06,-248305.0
2018-04-16 10:07,-281697.0
2018-04-16 10:08,-242732.0
2018-04-16 10:09,-207505.0
2018-04-16 10:10,-170632.0
2018-04-16 10:11,-218368.0
2018-04-16 10:12,-248748.0
2018-04-16 10:13,-273036.0
2018-04-16 10:14,-297739.0
2018-04-16 10:15,-312730.0
2018-04-16 10:16,-287940.0
2018-04-16 10:17,-320612.0
2018-04-16 10:18,-344851.0
2018-04-16 10:19,-322841.0
2018-04-16 10:20,-304821.0
2018-04-16 10:21,-280839.0
2018-04-16 10:22,-303423.0
2018-04-16 10:23,-325092.0
2018-04-16 10:24,-302392.0
2018-04-16 10:25,-321144.0
2018-04-16 10:26,-346938.0
2018-04-16 10:27,-323040.0
2018-04-16 10:28,-295380.0
2018-04-16 10:29,-260094.0
2018-04-16 10:30,-229299.0
2018-04-16 10:31,-205259.0
2018-04-16 10:32,-230629.0
2018-04-16 10:33,-209776.0
2018-04-16 10:34,-234966.0
2018-04-16 10:35,-251110.0
2018-04-16 10:36,-265774.0
2018-04-16 10:37,-252614.0
2018-04-16 10:38,-237769.0
2018-04-16 10:39,-268173.0
2018-04-16 10:40,-230302.0
2018-04-16 10:41,-243127.0
2018-04-16 10:42,-256921.0
2018-04-16 10:43,-235498.0
2018-04-16 10:44,-250362.0
2018-04-16 10:45,-235816.0
2018-04-16 10:46,-255086.0
2018-04-16 10:47,-290572.0
2018-04-16 10:48,-273338.0
2018-04-16 10:49,-285262.0
2018-04-16 10:50,-315375.0
2018-04-16 10:51,-339593.0
2018-04-16 10:52,-317790.0
2018-04-16 10:53,-288375.0
2018-04-16 10:54,-305587.0
2018-04-16 10:55,-284520.0
2018-04-16 10:56,-322758.0
2018-04-16 10:57,-310371.0
2018-04-16 10:58,-297456.0
2018-04-16 10:59,-324398.0
2018-04-16 11:00,-270763.0
2018-04-16 11:01,-289536.0
2018-04-16 11:02,-289536.0
2018-04-16 11:03,-326477.0
2018-04-16 11:04,-389975.0
2018-04-16 11:05,-443596.0
2018-04-16 11:06,-514590.0
2018-04-16 11:07,-606433.0
2018-04-16 11:08,-553742.0
2018-04-16 11:09,-612311.0
2018-04-16 11:10,-728701.0
2018-04-16 11:11,-853154.0
2018-04-16 11:12,-736255.0
2018-04-16 11:13,-809196.0
2018-04-16 11:14,-747456.0
2018-04-16 11:15,-817860.0
2018-04-16 11:16,-745269.0
2018-04-16 11:17,-691545.0
2018-04-16 11:18,-642966.0
2018-04-16 11:19,-689954.0
2018-04-16 11:20,-654441.0
2018-04-16 11:21,-597511.0
2018-04-16 11:22,-628399.0
2018-04-16 11:23,-658820.0
2018-04-16 11:24,-675166.0
2018-04-16 11:25,-649905.0
2018-04-16 11:26,-670885.0
2018-04-16 11:27,-692085.0
2018-04-16 11:28,-672251.0
2018-04-16 11:29,-647385.0
2018-04-16 11:30,-617605.0
2018-04-16 11:31,-600997.0
2018-04-16 11:32,-624908.0
2018-04-16 11:33,-641419.0
2018-04-16 11:34,-618501.0
2018-04-16 11:35,-603219.0
2018-04-16 11:36,-634948.0
2018-04-16 11:37,-592307.0
2018-04-16 11:38,-606135.0
2018-04-16 11:39,-588171.0
2018-04-16 11:40,-578044.0
2018-04-16 11:41,-599983.0
2018-04-16 11:42,-618107.0
2018-04-16 11:43,-630979.0
2018-04-16 11:44,-608091.0
2018-04-16 11:45,-562029.0
2018-04-16 11:46,-538544.0
2018-04-16 11:47,-558938.0
2018-04-16 11:48,-524787.0
2018-04-16 11:49,-509621.0
2018-04-16 11:50,-497536.0
2018-04-16 11:51,-472450.0
2018-04-16 11:52,-493272.0
2018-04-16 11:53,-464674.0
2018-04-16 11:54,-485672.0
2018-04-16 11:55,-505786.0
2018-04-16 11:56,-491481.0
2018-04-16 11:57,-483347.0
2018-04-16 11:58,-458224.0
2018-04-16 11:59,-430562.0
2018-04-16 12:00,-409823.0
2018-04-16 12:01,-381154.0
2018-04-16 12:02,-349715.0
2018-04-16 12:03,-328597.0
2018-04-16 12:04,-306875.0
2018-04-16 12:05,-331529.0
2018-04-16 12:06,-343822.0
2018-04-16 12:07,-319922.0
2018-04-16 12:08,-284183.0
2018-04-16 12:09,-253422.0
2018-04-16 12:10,-284185.0
2018-04-16 12:11,-275632.0
2018-04-16 12:12,-291617.0
2018-04-16 12:13,-253058.0
2018-04-16 12:14,-227814.0
2018-04-16 12:15,-252720.0
2018-04-16 12:16,-239619.0
2018-04-16 12:17,-224233.0
2018-04-16 12:18,-206252.0
2018-04-16 12:19,-168515.0
2018-04-16 12:20,-125622.0
2018-04-16 12:21,-107650.0
2018-04-16 12:22,-132701.0
2018-04-16 12:23,-111927.0
2018-04-16 12:24,-98078.0
2018-04-16 12:25,-82826.0
2018-04-16 12:26,-67459.0
2018-04-16 12:27,-86091.0
